timestamp=2024-08-13T09:20:05.293368, cpu_temp=62.3, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.1392, battery_current_now=0.108, battery_current_avg=0.044, charger_voltage_now=4.59726, charger_current_now=0.46
timestamp=2024-08-13T09:20:14.648246, cpu_temp=62.3, battery_percentage=89, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.108, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:20:25.001400, cpu_temp=62.838, battery_percentage=89, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.108, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:20:35.327304, cpu_temp=62.838, battery_percentage=90, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.024, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:20:45.320858, cpu_temp=62.3, battery_percentage=90, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.024, battery_current_avg=0.108, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:20:55.478269, cpu_temp=62.3, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.092, battery_current_avg=0.024, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:21:05.821502, cpu_temp=63.376, battery_percentage=93, battery_voltage_now=4.15711, battery_voltage_avg=4.14517, battery_current_now=0.092, battery_current_avg=0.024, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:21:16.158490, cpu_temp=63.376, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.092, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.454
timestamp=2024-08-13T09:21:26.003064, cpu_temp=63.376, battery_percentage=91, battery_voltage_now=4.15711, battery_voltage_avg=4.15711, battery_current_now=0.092, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.454
timestamp=2024-08-13T09:21:36.181115, cpu_temp=63.376, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.46
timestamp=2024-08-13T09:21:46.325726, cpu_temp=63.376, battery_percentage=91, battery_voltage_now=4.14517, battery_voltage_avg=4.15711, battery_current_now=0.0, battery_current_avg=0.092, charger_voltage_now=4.59726, charger_current_now=0.46
timestamp=2024-08-13T09:21:55.685851, cpu_temp=63.376, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:22:05.818723, cpu_temp=63.376, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.462
timestamp=2024-08-13T09:22:15.985146, cpu_temp=64.452, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.032, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.454
timestamp=2024-08-13T09:22:26.316745, cpu_temp=63.914, battery_percentage=94, battery_voltage_now=4.14517, battery_voltage_avg=4.14517, battery_current_now=0.032, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.454
