timestamp=2024-08-11T10:31:49.905529, cpu_temp=64.99, battery_percentage=0, battery_voltage_now=2.93724, battery_voltage_avg=2.93724, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.62593, charger_current_now=0.292
timestamp=2024-08-11T10:32:05.351435, cpu_temp=65.528, battery_percentage=0, battery_voltage_now=2.91336, battery_voltage_avg=2.93724, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=6.18923, charger_current_now=0.636
timestamp=2024-08-11T10:32:19.658912, cpu_temp=65.528, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.93724, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=7.3842, charger_current_now=0.0
timestamp=2024-08-11T10:32:34.453595, cpu_temp=64.99, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.9452, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.12571, charger_current_now=0.496
timestamp=2024-08-11T10:32:49.783838, cpu_temp=65.528, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.9452, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.35597, charger_current_now=0.414
timestamp=2024-08-11T10:33:05.493768, cpu_temp=66.604, battery_percentage=0, battery_voltage_now=2.9452, battery_voltage_avg=2.91535, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=7.3445, charger_current_now=0.0
timestamp=2024-08-11T10:33:20.761260, cpu_temp=67.142, battery_percentage=0, battery_voltage_now=2.91336, battery_voltage_avg=2.91535, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=5.43493, charger_current_now=0.636
timestamp=2024-08-11T10:33:35.508760, cpu_temp=67.68, battery_percentage=100, battery_voltage_now=2.93724, battery_voltage_avg=2.89943, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.636
timestamp=2024-08-11T10:33:51.137301, cpu_temp=67.68, battery_percentage=0, battery_voltage_now=2.91336, battery_voltage_avg=2.91336, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=6.58623, charger_current_now=0.628
timestamp=2024-08-11T10:34:05.857963, cpu_temp=67.142, battery_percentage=0, battery_voltage_now=2.81187, battery_voltage_avg=2.91336, battery_current_now=-1.38, battery_current_avg=0.0, charger_voltage_now=7.31671, charger_current_now=0.0
timestamp=2024-08-11T10:34:20.749937, cpu_temp=67.142, battery_percentage=100, battery_voltage_now=2.82779, battery_voltage_avg=2.91535, battery_current_now=-1.376, battery_current_avg=0.0, charger_voltage_now=4.62108, charger_current_now=0.496
timestamp=2024-08-11T10:34:35.757130, cpu_temp=67.68, battery_percentage=100, battery_voltage_now=2.91933, battery_voltage_avg=2.89943, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.352, charger_current_now=0.476
timestamp=2024-08-11T10:34:50.917184, cpu_temp=68.218, battery_percentage=0, battery_voltage_now=2.93724, battery_voltage_avg=2.91933, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.60211, charger_current_now=0.434
timestamp=2024-08-11T10:35:05.813442, cpu_temp=68.218, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.91933, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.646
timestamp=2024-08-11T10:35:21.400461, cpu_temp=69.294, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.80391, battery_current_now=0.0, battery_current_avg=-1.352, charger_voltage_now=4.59726, charger_current_now=0.658
timestamp=2024-08-11T10:35:36.990590, cpu_temp=69.832, battery_percentage=100, battery_voltage_now=2.89943, battery_voltage_avg=2.89545, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=7.2651, charger_current_now=0.0
timestamp=2024-08-11T10:35:52.385132, cpu_temp=68.756, battery_percentage=0, battery_voltage_now=2.91336, battery_voltage_avg=2.89943, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.42346, charger_current_now=0.334
timestamp=2024-08-11T10:36:07.771246, cpu_temp=69.832, battery_percentage=0, battery_voltage_now=2.89943, battery_voltage_avg=2.89943, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.642
timestamp=2024-08-11T10:36:22.854260, cpu_temp=69.832, battery_percentage=0, battery_voltage_now=2.89545, battery_voltage_avg=2.84968, battery_current_now=0.0, battery_current_avg=-0.86, charger_voltage_now=4.59726, charger_current_now=0.642
